signature	EntrezGene.ID	coefficient
Stroma1	715	1
Stroma1	4692	1
Stroma1	7043	1
Stroma1	4035	1
Stroma1	1300	1
Stroma1	1809	1
Stroma1	25903	1
Stroma1	4323	1
Stroma1	51339	1
Stroma1	54587	1
Stroma1	7058	1
Stroma2	5328	1
Stroma2	649	1
Stroma2	4323	1
Stroma2	7070	1
Stroma2	1290	1
Stroma2	8038	1
Stroma2	23452	1
Stroma2	4237	1
Stroma2	871	1
Stroma2	1291	1
Stroma2	3671	1
Stroma2	9260	1
Stroma2	55742	1
Stroma2	25903	1
Stroma2	6876	1
Stroma2	5476	1
Stroma2	5159	1
Stroma2	54587	1
Stroma2	9180	1
Stroma2	1281	1
Stroma2	26585	1
Stroma2	2191	1
Stroma2	1627	1
Stroma2	23299	1
Stroma2	51330	1
Stroma2	7421	1
Stroma2	6591	1
Stroma2	2037	1
Stroma2	55033	1
Stroma2	4681	1
Stroma2	10487	1
Stroma2	526	1
Stroma2	2050	1
Stroma2	9697	1
Stroma2	4921	1
Stroma2	9945	1
Stroma2	4811	1
Stroma2	8481	-1
Stroma2	23705	1
Stroma2	23166	1
Stroma2	8459	1
Stroma2	23645	1
Stroma2	27295	1
Stroma2	93974	-1
Stroma2	51592	-1
Stroma2	4314	1
Stroma2	1833	1
Stroma2	157567	-1
Stroma2	8904	1
Stroma2	602	1
Stroma2	2720	1
Stroma2	59286	-1
Stroma2	8408	1
Stroma2	55035	-1
Stroma2	7042	1
Stroma2	5155	1
Stroma2	10409	1
Stroma2	10993	1
Stroma2	6233	-1
Stroma2	8507	1
Stroma2	176	1
Stroma2	9849	-1
Stroma2	51463	-1
Stroma2	6141	-1
Stroma2	4205	1
Stroma2	1774	1
Stroma2	4430	1
Stroma2	57158	1
Immune1	6846	1
Immune1	3134	1
Immune1	712	1
Immune1	608	1
Immune1	6696	-1
Immune1	4063	1
Immune2	6772	1
Immune2	3627	1
Immune2	6890	1
Immune2	6373	1
Immune2	3620	1
Immune2	4283	1
Immune2	4599	1
Immune2	27074	1
Immune2	9636	1
Immune2	64108	1
Immune2	55008	1
Immune2	10964	1
Immune2	4600	1
Immune2	3437	1
Immune2	51191	1
Immune2	91543	1
Immune2	23586	1
Immune2	6352	1
Immune2	27299	1
Immune2	914	1
Immune2	55601	1
Immune2	10866	1
Immune2	9111	1
Immune2	9806	1
Immune2	6355	1
Immune2	10346	1
Immune2	4069	1
Immune2	3659	1
Immune2	3902	1
Immune2	9595	1
Immune2	22797	1
Immune2	10537	1
Immune2	11262	1
Immune2	1075	1
Immune2	2537	1
Immune2	7941	1
Immune2	917	1
Immune2	1890	1
Immune2	51316	1
Immune2	10875	1
Immune2	3003	1
Immune2	962	1
Immune2	6775	1
Immune2	2841	1
Immune2	5026	1
Immune2	10437	1
Immune2	4068	1
Immune2	7805	1
Immune2	969	1
Immune2	5778	1
Immune2	3394	1
Immune2	11040	1
Immune2	51513	1
Immune2	29909	1
Immune2	5720	1
Immune2	330	1
Immune2	356	1
Immune2	8519	1
Immune2	24138	1
Immune2	3689	1
Immune2	11118	1
Immune2	3059	1
Immune2	6398	1
Immune2	55843	1
Immune2	22914	1
Immune2	10261	1
Immune2	1880	1
Immune2	26034	1
Immune2	29887	1
Immune2	79132	1
Immune2	684	1
Immune2	55337	1
Immune2	341	1
Immune2	51237	1
Immune2	445347	1
Immune2	56829	1
Immune2	23564	-1
Immune2	23547	1
Immune2	10148	1
Immune2	3823	1
Immune2	50856	1
Immune2	959	1
Immune2	7409	1
Immune2	2745	1
Immune2	54	1
Immune2	5993	1
Immune2	51816	1
Immune2	7187	1
Immune2	4218	1
Immune2	3606	1
Immune2	1942	-1
Immune2	10125	1
Immune2	9985	1
Immune2	9034	1
Immune2	10126	-1
RAS	19	-1
RAS	101	1
RAS	101	1
RAS	11096	-1
RAS	154	1
RAS	51129	1
RAS	51129	1
RAS	384	1
RAS	23229	-1
RAS	56938	1
RAS	490	1
RAS	490	1
RAS	84002	1
RAS	84002	1
RAS	11332	1
RAS	604	-1
RAS	7851	1
RAS	650	1
RAS	650	1
RAS	55612	1
RAS	55612	1
RAS	55612	1
RAS	135398	1
RAS	10221	1
RAS	805	1
RAS	813	1
RAS	813	1
RAS	835	-1
RAS	6364	1
RAS	8900	1
RAS	64866	1
RAS	23529	1
RAS	85301	-1
RAS	1316	1
RAS	1316	1
RAS	1453	1
RAS	1454	1
RAS	1454	1
RAS	84951	1
RAS	2919	1
RAS	2920	1
RAS	2921	1
RAS	6374	1
RAS	1545	-1
RAS	1545	-1
RAS	1594	1
RAS	120227	-1
RAS	1604	1
RAS	1604	1
RAS	1604	1
RAS	10521	-1
RAS	10521	-1
RAS	8061	1
RAS	54441	-1
RAS	28514	-1
RAS	1743	1
RAS	9829	-1
RAS	1839	1
RAS	1839	1
RAS	1843	1
RAS	1843	1
RAS	1846	1
RAS	1846	1
RAS	1847	1
RAS	1848	1
RAS	1848	1
RAS	1848	1
RAS	9170	1
RAS	1947	1
RAS	1958	1
RAS	10938	1
RAS	1969	1
RAS	2069	1
RAS	9592	1
RAS	26268	-1
RAS	2263	-1
RAS	55700	1
RAS	65979	-1
RAS	79977	-1
RAS	79993	1
RAS	201799	1
RAS	285672	1
RAS	285672	1
RAS	121227	-1
RAS	160418	-1
RAS	2317	1
RAS	2317	1
RAS	23767	1
RAS	2335	-1
RAS	2353	1
RAS	94234	1
RAS	50486	1
RAS	2619	-1
RAS	2707	1
RAS	2707	1
RAS	2709	1
RAS	2710	1
RAS	113263	-1
RAS	51228	1
RAS	51228	1
RAS	54676	1
RAS	9982	1
RAS	3008	-1
RAS	3099	1
RAS	9324	-1
RAS	3223	-1
RAS	10855	1
RAS	3265	1
RAS	8870	1
RAS	3589	1
RAS	3598	1
RAS	3552	1
RAS	3553	1
RAS	3553	1
RAS	3576	1
RAS	3628	1
RAS	50640	1
RAS	153572	-1
RAS	3673	1
RAS	3710	1
RAS	3710	1
RAS	3726	1
RAS	3775	1
RAS	3775	1
RAS	3783	1
RAS	9938	1
